Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made
Control,High Value,240.5483589001639,300.0075675302556,74.68476650922942,,No
Treatment,High Value,246.8621142097213,381.3375545299784,100.0,100.0,Yes
Control,High Value,156.97808447859475,179.33046351143602,98.78073492771196,100.0,No
Control,Medium Value,192.1267083410125,229.2780311449778,49.33376568403194,39.81184102884268,Yes
,High Value,229.6856225311863,,83.97485224,87.73859146013874,Yes
Treatment,,135.5730030724036,218.55998793624312,58.075341560288535,69.40491770418247,No
Control,High Value,191.71391751322253,222.4093562953567,89.96782704218455,85.12097519074193,Yes
Control,Low Value,173.75255497726224,213.1682319169392,66.98471067566065,67.88155831219294,
,High Value,208.3085772,248.1788297406119,95.3666699106182,84.79029369447808,Yes
Treatment,High Value,235.07149317447795,352.7568720796089,72.91985145581212,70.75322510464026,No
Control,Low Value,139.93153925886617,170.23839621775963,59.844765580197226,,Yes
Control,High Value,,333.0649723842069,74.38393900776379,67.94240255950163,
Control,,211.8349368284123,254.84391219852023,,87.60154444766816,Yes
Control,High Value,217.77601332639472,259.9896243956994,100.0,100.0,Yes
,Medium Value,173.18344545034157,284.9242994285349,81.94912049151024,,No
Control,Low Value,188.33896253003337,232.58248579885085,53.45882198158094,63.46722449883956,Yes
Treatment,,306.7014523489638,485.1354244954794,77.43166164966323,78.36128221143248,
Treatment,Low Value,164.63631906370986,242.3219339433057,50.557336938790826,63.47724520875917,No
Treatment,,151.73386907837792,231.61542790862327,51.64879271063811,,Yes
Control,Low Value,136.6363152824632,162.7193515233652,50.29607851025652,46.96473643066456,Yes
Treatment,High Value,225.16316493897875,355.2104510853748,,95.05431689,No
Control,High Value,215.2826142380435,264.2998632701579,83.27203259267907,100.0,Yes
Treatment,Low Value,182.99078495831023,277.8915659929541,51.35488357781548,64.40241350614076,No
Treatment,Medium Value,216.75212622867403,342.64310388488025,,68.33514145,Yes
Treatment,Low Value,193.36515170745048,293.18381183311226,57.82708352005616,62.87584818573787,No
Treatment,Medium Value,199.89748271827628,317.38843608779985,74.92718784301869,75.32867379,No
Treatment,Low Value,263.2041451,,56.3113850315552,45.33645803118631,Yes
Treatment,Low Value,213.2222876593125,341.428155688604,45.39979304129021,46.47630106153783,No
Treatment,Low Value,128.76663156266886,202.57829702148177,54.96175660876392,42.65810995393944,No
Treatment,High Value,134.01751025099622,205.5408433061477,,86.28785873002904,Yes
Control,Medium Value,162.78694724515825,197.0942672258629,64.78195876,71.75744553562056,Yes
Control,Medium Value,,256.7950582762058,72.49876467053772,,No
Treatment,Low Value,145.40486887836266,226.8527581404369,59.25262599419791,53.19109377464451,No
Treatment,High Value,,132.2872220994811,39.42157094419601,100.0,No
,High Value,226.6438578746983,355.98445877614364,79.27226735930505,,No
Control,Medium Value,177.4821281977439,211.29715345658323,69.5147959,71.92052708,No
Treatment,High Value,109.26682181557986,,99.23269996,100.0,Yes
,Medium Value,203.84622026439388,243.7668889196661,39.33142354554956,,Yes
,Medium Value,236.350638907034,278.0196705945648,70.28976369379372,73.61401738447641,Yes
Control,,,177.55423718004795,,83.77448967190342,No
Control,,228.00301061787013,,92.36207576,97.45070766,Yes
Control,,145.79843046677243,,68.48512943366842,62.93528171517984,Yes
,Medium Value,169.77587981968645,255.35526684846096,79.39828892769745,100.0,Yes
